Unnamed: 0,indonesian,english,contoh_penggunaan
994,kerusakan,damage,Gempa menyebabkan kerusakan parah.
995,kerusakan,decay,Gempa menyebabkan kerusakan parah.
996,kerusakan,harm,Gempa menyebabkan kerusakan parah.
997,kesalahan,error,"Maaf, itu adalah kesalahan saya."
998,kesalahan,failure,"Maaf, itu adalah kesalahan saya."
999,kesalahan,fault,"Maaf, itu adalah kesalahan saya."
1000,kesalahan,guilt,"Maaf, itu adalah kesalahan saya."
1001,kesalahan,mistake,"Maaf, itu adalah kesalahan saya."
1002,kesalahan,wrongdoing,"Maaf, itu adalah kesalahan saya."
1003,kesan,image,Pertemuan ini meninggalkan kesan mendalam.
1004,kesan,impression,Pertemuan ini meninggalkan kesan mendalam.
1005,kesempatan,avenue,Jangan sia-siakan kesempatan ini.
1006,kesempatan,chance,Jangan sia-siakan kesempatan ini.
1007,kesempatan,occasion,Jangan sia-siakan kesempatan ini.
1008,kesempatan,opportunity,Jangan sia-siakan kesempatan ini.
1009,kesepian,forlorn,Nenek merasa kesepian di rumah besar itu.
1010,kesepian,loneliness,Nenek merasa kesepian di rumah besar itu.
1011,kesepian,lonely,Nenek merasa kesepian di rumah besar itu.
1012,kesepian,lonesome,Nenek merasa kesepian di rumah besar itu.
1013,kesepian,solitude,Nenek merasa kesepian di rumah besar itu.
1014,kesulitan,adversity,"Jika ada kesulitan, hubungi saya."
1015,kesulitan,challenge,"Jika ada kesulitan, hubungi saya."
1016,kesulitan,complication,"Jika ada kesulitan, hubungi saya."
1017,kesulitan,difficulty,"Jika ada kesulitan, hubungi saya."
1018,kesulitan,distress,"Jika ada kesulitan, hubungi saya."
1019,kesulitan,hardship,"Jika ada kesulitan, hubungi saya."
1020,kesulitan,impediment,"Jika ada kesulitan, hubungi saya."
1021,kesulitan,issue,"Jika ada kesulitan, hubungi saya."
1022,kesulitan,problem,"Jika ada kesulitan, hubungi saya."
1023,kesulitan,trouble,"Jika ada kesulitan, hubungi saya."
1024,ketakutan,dread,Anak itu lari ketakutan.
1025,ketakutan,fear,Anak itu lari ketakutan.
1026,ketakutan,fright,Anak itu lari ketakutan.
1027,ketakutan,horror,Anak itu lari ketakutan.
1028,ketakutan,scare,Anak itu lari ketakutan.
1029,ketat,close-fitting,Persaingan masuk universitas sangat ketat.
1030,ketat,form-fitting,Persaingan masuk universitas sangat ketat.
1031,ketat,skin-tight,Persaingan masuk universitas sangat ketat.
1032,ketat,strict,Persaingan masuk universitas sangat ketat.
1033,ketat,tight,Persaingan masuk universitas sangat ketat.
1034,ketegangan,strain,Ketegangan terjadi di perbatasan negara.
1035,ketegangan,stress,Ketegangan terjadi di perbatasan negara.
1036,ketegangan,suspense,Ketegangan terjadi di perbatasan negara.
1037,ketegangan,tense,Ketegangan terjadi di perbatasan negara.
1038,ketegangan,tension,Ketegangan terjadi di perbatasan negara.
1039,ketegangan,tensity,Ketegangan terjadi di perbatasan negara.
1040,kompak,cohesive,Tim ini sangat kompak.
1041,kompak,compact,Tim ini sangat kompak.
1042,kompak,solid,Tim ini sangat kompak.
1043,kompak,unified,Tim ini sangat kompak.
1044,konflik,argument,Konflik itu harus segera diselesaikan.
1045,konflik,clash,Konflik itu harus segera diselesaikan.
1046,konflik,conflict,Konflik itu harus segera diselesaikan.
1047,konflik,controversy,Konflik itu harus segera diselesaikan.
1048,konflik,discord,Konflik itu harus segera diselesaikan.
1049,konflik,dispute,Konflik itu harus segera diselesaikan.
1050,konflik,friction,Konflik itu harus segera diselesaikan.
1051,konflik,quarrel,Konflik itu harus segera diselesaikan.
1052,konflik,squabbling,Konflik itu harus segera diselesaikan.
1053,konflik,strife,Konflik itu harus segera diselesaikan.
1054,konspirasi,collusion,Banyak teori konspirasi beredar.
1055,konspirasi,conspiracy,Banyak teori konspirasi beredar.
1056,konspirasi,conspiration,Banyak teori konspirasi beredar.
1057,konspirasi,intrigue,Banyak teori konspirasi beredar.
1058,konspirasi,machinations,Banyak teori konspirasi beredar.
1059,korban,sacrifice,Jumlah korban kecelakaan bertambah.
1060,korban,scapegoat,Jumlah korban kecelakaan bertambah.
1061,korban,victim,Jumlah korban kecelakaan bertambah.
1062,korban jiwa,fatalities,Tidak ada korban jiwa dalam kebakaran itu.
1063,korban jiwa,victim,Tidak ada korban jiwa dalam kebakaran itu.
1064,kosong,blank,Kotak ini kosong.
1065,kosong,empty,Kotak ini kosong.
1066,kosong,hollow,Kotak ini kosong.
1067,kosong,unoccupied,Kotak ini kosong.
1068,kosong,vacant,Kotak ini kosong.
1069,kosong,vacuous,Kotak ini kosong.
1070,kosong,zero,Kotak ini kosong.
1071,kotor,dirty,Bajunya kotor terkena lumpur.
1072,kotor,filthy,Bajunya kotor terkena lumpur.
1073,kotor,foul,Bajunya kotor terkena lumpur.
1074,kotor,grimy,Bajunya kotor terkena lumpur.
1075,kotor,gross,Bajunya kotor terkena lumpur.
1076,kotor,grubby,Bajunya kotor terkena lumpur.
1077,kotor,messy,Bajunya kotor terkena lumpur.
1078,kotor,nasty,Bajunya kotor terkena lumpur.
1079,kotor,smudgy,Bajunya kotor terkena lumpur.
1080,kotor,unclean,Bajunya kotor terkena lumpur.
1081,kuat,durable,Pondasi rumah ini sangat kuat.
1082,kuat,firm,Pondasi rumah ini sangat kuat.
1083,kuat,intense,Pondasi rumah ini sangat kuat.
1084,kuat,powerful,Pondasi rumah ini sangat kuat.
1085,kuat,robust,Pondasi rumah ini sangat kuat.
1086,kuat,solid,Pondasi rumah ini sangat kuat.
1087,kuat,steady,Pondasi rumah ini sangat kuat.
1088,kuat,strong,Pondasi rumah ini sangat kuat.
1089,kuat,sturdy,Pondasi rumah ini sangat kuat.
1090,kuat,tough,Pondasi rumah ini sangat kuat.
1091,kurang,deficient,Garamnya kurang sedikit.
1092,kurang,lacking,Garamnya kurang sedikit.
1093,kurang,less,Garamnya kurang sedikit.
1094,kurang,minus,Garamnya kurang sedikit.
1095,kurang,not enough,Garamnya kurang sedikit.
1096,kutuk,condemn,Nenek sihir mengucap kutuk.
1097,kutuk,curse,Nenek sihir mengucap kutuk.
1098,kutuk,damn,Nenek sihir mengucap kutuk.
1099,kutukan,condemnation,Desa itu konon terkena kutukan.
1100,kutukan,curse,Desa itu konon terkena kutukan.
1101,kutukan,damning,Desa itu konon terkena kutukan.
1102,langgar,break,Jangan langgar aturan lalu lintas.
1103,langgar,defy,Jangan langgar aturan lalu lintas.
1104,langgar,infringe,Jangan langgar aturan lalu lintas.
1105,langgar,violate,Jangan langgar aturan lalu lintas.
1106,larang,ban,Ayah larang aku pulang malam.
1107,larang,disallow,Ayah larang aku pulang malam.
1108,larang,forbid,Ayah larang aku pulang malam.
1109,larang,prohibit,Ayah larang aku pulang malam.
1110,larangan,ban,Ada larangan merokok di sini.
1111,larangan,prohibition,Ada larangan merokok di sini.
1112,lawan,against,Siapa lawan mainmu nanti?
1113,lawan,competitor,Siapa lawan mainmu nanti?
1114,lawan,contender,Siapa lawan mainmu nanti?
1115,lawan,contestant,Siapa lawan mainmu nanti?
1116,lawan,contra,Siapa lawan mainmu nanti?
1117,lawan,contradictor,Siapa lawan mainmu nanti?
1118,lawan,foe,Siapa lawan mainmu nanti?
1119,lawan,go against,Siapa lawan mainmu nanti?
1120,lawan,opponoent,Siapa lawan mainmu nanti?
1121,lawan,opposite,Siapa lawan mainmu nanti?
1122,lawan,rival,Siapa lawan mainmu nanti?
1123,lawan,take on,Siapa lawan mainmu nanti?
1124,lawan,versus,Siapa lawan mainmu nanti?
1125,layak,appropriate,Dia layak mendapatkan penghargaan.
1126,layak,decent,Dia layak mendapatkan penghargaan.
1127,layak,feasible,Dia layak mendapatkan penghargaan.
1128,layak,proper,Dia layak mendapatkan penghargaan.
1129,layak,qualified,Dia layak mendapatkan penghargaan.
1130,layak,reasonable,Dia layak mendapatkan penghargaan.
1131,layak,sensible,Dia layak mendapatkan penghargaan.
1132,layak,suitable,Dia layak mendapatkan penghargaan.
1133,layak,worthy,Dia layak mendapatkan penghargaan.
1134,lebih,more,Harga ini lebih murah.
1135,lebih,over,Harga ini lebih murah.
1136,lebih baik,better,Lebih baik mencegah daripada mengobati.
1137,lebih baik,preferable,Lebih baik mencegah daripada mengobati.
1138,lembut,creamy,Kue ini teksturnya sangat lembut.
1139,lembut,delicate,Kue ini teksturnya sangat lembut.
1140,lembut,fluffy,Kue ini teksturnya sangat lembut.
1141,lembut,gentle,Kue ini teksturnya sangat lembut.
1142,lembut,soft,Kue ini teksturnya sangat lembut.
1143,lembut,tender,Kue ini teksturnya sangat lembut.
1144,lengkap,complete,Data yang dikirim sudah lengkap.
1145,lengkap,comprehensive,Data yang dikirim sudah lengkap.
1146,lengkap,exhaustive,Data yang dikirim sudah lengkap.
1147,lengkap,full,Data yang dikirim sudah lengkap.
1148,lengkap,intact,Data yang dikirim sudah lengkap.
1149,lengkap,perfect,Data yang dikirim sudah lengkap.
1150,lengkap,thorough,Data yang dikirim sudah lengkap.
1151,lengkap,unabridged,Data yang dikirim sudah lengkap.
1152,lenyap,disappear,Pesawat itu lenyap dari radar.
1153,lenyap,evaporate,Pesawat itu lenyap dari radar.
1154,lenyap,extinct,Pesawat itu lenyap dari radar.
1155,lenyap,gone,Pesawat itu lenyap dari radar.
1156,lenyap,vanish,Pesawat itu lenyap dari radar.
1157,lewat,come by,"Minggir, saya mau lewat."
1158,lewat,come through,"Minggir, saya mau lewat."
1159,lewat,go by,"Minggir, saya mau lewat."
1160,lewat,go past,"Minggir, saya mau lewat."
1161,lewat,late,"Minggir, saya mau lewat."
1162,lewat,miss,"Minggir, saya mau lewat."
1163,lewat,pass,"Minggir, saya mau lewat."
1164,lewat,pass through,"Minggir, saya mau lewat."
1165,lewat,passing,"Minggir, saya mau lewat."
1166,lewat,slip by,"Minggir, saya mau lewat."
1167,lewat,through,"Minggir, saya mau lewat."
1168,lihat,look,Coba lihat gambar ini.
1169,lihat,observe,Coba lihat gambar ini.
1170,lihat,see,Coba lihat gambar ini.
1171,lihat,view,Coba lihat gambar ini.
1172,lihat,watch,Coba lihat gambar ini.
1173,lihat,witness,Coba lihat gambar ini.
1174,lmao,lmao,Cerita itu lucu sekali lmao.
1175,lmao,lol,Cerita itu lucu sekali lmao.
1176,luar biasa,cut above,Pemandangan ini luar biasa indah.
1177,luar biasa,exceptional,Pemandangan ini luar biasa indah.
1178,luar biasa,extraordinary,Pemandangan ini luar biasa indah.
1179,luar biasa,fantastic,Pemandangan ini luar biasa indah.
1180,luar biasa,incredible,Pemandangan ini luar biasa indah.
1181,luar biasa,phenomenal,Pemandangan ini luar biasa indah.
1182,luar biasa,remarkable,Pemandangan ini luar biasa indah.
1183,luar biasa,remarkably,Pemandangan ini luar biasa indah.
1184,luar biasa,super,Pemandangan ini luar biasa indah.
1185,luar biasa,terrific,Pemandangan ini luar biasa indah.
1186,luar biasa,unbelievable,Pemandangan ini luar biasa indah.
1187,lucu,amusing,Badut itu sangat lucu.
1188,lucu,comical,Badut itu sangat lucu.
1189,lucu,cute,Badut itu sangat lucu.
1190,lucu,funny,Badut itu sangat lucu.
1191,lucu,gaga,Badut itu sangat lucu.
1192,lucu,hilarious,Badut itu sangat lucu.
1193,lucu,humorous,Badut itu sangat lucu.
1194,lucu,silly,Badut itu sangat lucu.
1195,luka,cut,Luka di kakinya sudah kering.
1196,luka,injury,Luka di kakinya sudah kering.
1197,luka,scar,Luka di kakinya sudah kering.
1198,luka,wound,Luka di kakinya sudah kering.
1199,luka,wounded,Luka di kakinya sudah kering.
1200,lupa,forget,Saya lupa membawa payung.
1201,maaf,excuse,"Maaf, saya datang terlambat."
1202,maaf,forgive,"Maaf, saya datang terlambat."
1203,maaf,pardon,"Maaf, saya datang terlambat."
1204,maaf,sorry,"Maaf, saya datang terlambat."
1205,mahal,costly,Tas ini harganya sangat mahal.
1206,mahal,expensive,Tas ini harganya sangat mahal.
1207,mahal,extravagant,Tas ini harganya sangat mahal.
1208,mahal,high,Tas ini harganya sangat mahal.
1209,mahal,lavish,Tas ini harganya sangat mahal.
1210,mahal,pricey,Tas ini harganya sangat mahal.
1211,mahal,upscale,Tas ini harganya sangat mahal.
1212,mampu,able,Dia mampu berlari sejauh 10 km.
1213,mampu,adequate,Dia mampu berlari sejauh 10 km.
1214,mampu,afford,Dia mampu berlari sejauh 10 km.
1215,mampu,capable,Dia mampu berlari sejauh 10 km.
1216,mampu,competent,Dia mampu berlari sejauh 10 km.
1217,mampu,well-off,Dia mampu berlari sejauh 10 km.
1218,marah,angry,"Jangan marah, saya cuma bercanda."
1219,marah,enraged,"Jangan marah, saya cuma bercanda."
1220,marah,exasperated,"Jangan marah, saya cuma bercanda."
1221,marah,furious,"Jangan marah, saya cuma bercanda."
1222,marah,irate,"Jangan marah, saya cuma bercanda."
1223,marah,mad,"Jangan marah, saya cuma bercanda."
1224,marah,outraged,"Jangan marah, saya cuma bercanda."
1225,marah,resentful,"Jangan marah, saya cuma bercanda."
1226,marah,seethe,"Jangan marah, saya cuma bercanda."
1227,marah,upset,"Jangan marah, saya cuma bercanda."
1228,masalah,issue,Setiap masalah pasti ada solusinya.
1229,masalah,matter,Setiap masalah pasti ada solusinya.
1230,masalah,problem,Setiap masalah pasti ada solusinya.
1231,masalah,thing,Setiap masalah pasti ada solusinya.
1232,mati,dead,Lampu di kamar mati.
1233,mati,die,Lampu di kamar mati.
1234,mati,go out,Lampu di kamar mati.
1235,mati,kick the bucket,Lampu di kamar mati.
1236,mati,meet one's maker,Lampu di kamar mati.
1237,mati,perish,Lampu di kamar mati.
1238,mayat,body,Polisi menemukan mayat di sungai.
1239,mayat,cadaver,Polisi menemukan mayat di sungai.
1240,mayat,corpse,Polisi menemukan mayat di sungai.
1241,mayat,remains,Polisi menemukan mayat di sungai.
1242,melakukan,carry out,Siapa yang melakukan hal ini?
1243,melakukan,do,Siapa yang melakukan hal ini?
1244,melakukan,execute,Siapa yang melakukan hal ini?
1245,melakukan,make,Siapa yang melakukan hal ini?
1246,melakukan,perform,Siapa yang melakukan hal ini?
1247,melakukan,proceed,Siapa yang melakukan hal ini?
1248,melakukan,pull off,Siapa yang melakukan hal ini?
1249,melakukan,run,Siapa yang melakukan hal ini?
1250,melanggar,break,Dia ditilang karena melanggar aturan.
1251,melanggar,defy,Dia ditilang karena melanggar aturan.
1252,melanggar,disobey,Dia ditilang karena melanggar aturan.
1253,melanggar,infringe,Dia ditilang karena melanggar aturan.
1254,melanggar,transgress,Dia ditilang karena melanggar aturan.
1255,melanggar,violate,Dia ditilang karena melanggar aturan.
1256,melemahkan,debilitate,Virus itu bisa melemahkan sistem imun.
1257,melemahkan,impair,Virus itu bisa melemahkan sistem imun.
1258,melemahkan,soften,Virus itu bisa melemahkan sistem imun.
1259,melemahkan,weaken,Virus itu bisa melemahkan sistem imun.
1260,melindungi,cover,Topi ini melindungi kepala dari panas.
1261,melindungi,guard,Topi ini melindungi kepala dari panas.
1262,melindungi,preserve,Topi ini melindungi kepala dari panas.
1263,melindungi,protect,Topi ini melindungi kepala dari panas.
1264,melindungi,secure,Topi ini melindungi kepala dari panas.
1265,melindungi,shield,Topi ini melindungi kepala dari panas.
1266,melumpuhkan,cripple,Polisi berhasil melumpuhkan penjahat.
1267,melumpuhkan,debilitate,Polisi berhasil melumpuhkan penjahat.
1268,melumpuhkan,demolish,Polisi berhasil melumpuhkan penjahat.
1269,melumpuhkan,disable,Polisi berhasil melumpuhkan penjahat.
1270,melumpuhkan,immobilize,Polisi berhasil melumpuhkan penjahat.
1271,melumpuhkan,impair,Polisi berhasil melumpuhkan penjahat.
1272,melumpuhkan,paralize,Polisi berhasil melumpuhkan penjahat.
1273,melumpuhkan,paralyze,Polisi berhasil melumpuhkan penjahat.
1274,melumpuhkan,stifle,Polisi berhasil melumpuhkan penjahat.
1275,memastikan,ascertain,Saya menelepon untuk memastikan pesanan.
1276,memastikan,assure,Saya menelepon untuk memastikan pesanan.
1277,memastikan,confirm,Saya menelepon untuk memastikan pesanan.
1278,memastikan,determine,Saya menelepon untuk memastikan pesanan.
1279,memastikan,ensure,Saya menelepon untuk memastikan pesanan.
1280,memastikan,make sure,Saya menelepon untuk memastikan pesanan.
1281,memastikan,set,Saya menelepon untuk memastikan pesanan.
1282,memastikan,settle,Saya menelepon untuk memastikan pesanan.
1283,membahayakan,compromise,Tindakanmu bisa membahayakan orang lain.
1284,membahayakan,endanger,Tindakanmu bisa membahayakan orang lain.
1285,membahayakan,harm,Tindakanmu bisa membahayakan orang lain.
1286,membahayakan,jeopardize,Tindakanmu bisa membahayakan orang lain.
1287,membantu,aid,Saya senang bisa membantu.
1288,membantu,assist,Saya senang bisa membantu.
1289,membantu,contribute,Saya senang bisa membantu.
1290,membantu,help,Saya senang bisa membantu.
1291,membantu,lend a hand,Saya senang bisa membantu.
1292,membantu,support,Saya senang bisa membantu.
1293,membatalkan,annul,Maskapai membatalkan penerbangan.
1294,membatalkan,call off,Maskapai membatalkan penerbangan.
1295,membatalkan,cancel,Maskapai membatalkan penerbangan.
1296,membatalkan,rescind,Maskapai membatalkan penerbangan.
1297,membatalkan,void,Maskapai membatalkan penerbangan.
1298,membatalkan,withdraw,Maskapai membatalkan penerbangan.
1299,membenci,despise,Tidak baik membenci sesama.
1300,membenci,dislike,Tidak baik membenci sesama.
1301,membenci,hate,Tidak baik membenci sesama.
1302,membenci,loathe,Tidak baik membenci sesama.
1303,membuka,begin,Kakak sedang membuka kado.
1304,membuka,disclose,Kakak sedang membuka kado.
1305,membuka,open,Kakak sedang membuka kado.
1306,membuka,start,Kakak sedang membuka kado.
1307,membunuh,assassinate,Pemburu dilarang membunuh hewan langka.
1308,membunuh,destroy,Pemburu dilarang membunuh hewan langka.
1309,membunuh,dispatch,Pemburu dilarang membunuh hewan langka.
1310,membunuh,execute,Pemburu dilarang membunuh hewan langka.
1311,membunuh,finish off,Pemburu dilarang membunuh hewan langka.
1312,membunuh,kill,Pemburu dilarang membunuh hewan langka.
1313,membunuh,murder,Pemburu dilarang membunuh hewan langka.
1314,membunuh,off,Pemburu dilarang membunuh hewan langka.
1315,membunuh,slay,Pemburu dilarang membunuh hewan langka.
1316,membunuh,smite,Pemburu dilarang membunuh hewan langka.
1317,membunuh,snuff,Pemburu dilarang membunuh hewan langka.
1318,memerangi,battle,Kita harus memerangi korupsi.
1319,memerangi,be against,Kita harus memerangi korupsi.
1320,memerangi,combat,Kita harus memerangi korupsi.
1321,memerangi,contend,Kita harus memerangi korupsi.
1322,memerangi,counter,Kita harus memerangi korupsi.
1323,memerangi,fight,Kita harus memerangi korupsi.
1324,memerangi,fight against,Kita harus memerangi korupsi.
1325,memerangi,fight back,Kita harus memerangi korupsi.
1326,memerangi,oppose,Kita harus memerangi korupsi.
1327,memerangi,resist,Kita harus memerangi korupsi.
1328,memerangi,withstand,Kita harus memerangi korupsi.
1329,mempertanyakan,doubt,Guru mempertanyakan alasan saya bolos.
1330,mempertanyakan,ponder,Guru mempertanyakan alasan saya bolos.
1331,mempertanyakan,question,Guru mempertanyakan alasan saya bolos.
1332,mempertanyakan,suspect,Guru mempertanyakan alasan saya bolos.
1333,memuji,commend,Banyak orang memuji penampilannya.
1334,memuji,compliment,Banyak orang memuji penampilannya.
1335,memuji,flatter,Banyak orang memuji penampilannya.
1336,memuji,praise,Banyak orang memuji penampilannya.
1337,menahan,arrest,Dia berusaha menahan tawa.
1338,menahan,detain,Dia berusaha menahan tawa.
1339,menahan,endure,Dia berusaha menahan tawa.
1340,menahan,fight back,Dia berusaha menahan tawa.
1341,menahan,hold,Dia berusaha menahan tawa.
1342,menahan,hold back,Dia berusaha menahan tawa.
1343,menahan,hold on,Dia berusaha menahan tawa.
1344,menahan,keep,Dia berusaha menahan tawa.
1345,menahan,keep under control,Dia berusaha menahan tawa.
1346,menahan,resist,Dia berusaha menahan tawa.
1347,menahan,suppress,Dia berusaha menahan tawa.
1348,menahan,sustain,Dia berusaha menahan tawa.
1349,menahan,withhold,Dia berusaha menahan tawa.
1350,menahan,withstand,Dia berusaha menahan tawa.
1351,menanti,expect,Kami sedang menanti kedatangan bus.
1352,menanti,look forward,Kami sedang menanti kedatangan bus.
1353,menanti,wait,Kami sedang menanti kedatangan bus.
1354,menanti,waiting,Kami sedang menanti kedatangan bus.
1355,menarik,alluring,Buku ini sangat menarik untuk dibaca.
1356,menarik,appealing,Buku ini sangat menarik untuk dibaca.
1357,menarik,attractive,Buku ini sangat menarik untuk dibaca.
1358,menarik,enticing,Buku ini sangat menarik untuk dibaca.
1359,menarik,eye-catching,Buku ini sangat menarik untuk dibaca.
1360,menarik,interesting,Buku ini sangat menarik untuk dibaca.
1361,menarik,intriguing,Buku ini sangat menarik untuk dibaca.
1362,menarik,riveting,Buku ini sangat menarik untuk dibaca.
1363,mencurigakan,dubious,Gerak-geriknya sangat mencurigakan.
1364,mencurigakan,fishy,Gerak-geriknya sangat mencurigakan.
1365,mencurigakan,sus,Gerak-geriknya sangat mencurigakan.
1366,mencurigakan,suspicious,Gerak-geriknya sangat mencurigakan.
1367,mendapatkan,acquire,Saya mendapatkan hadiah undian.
1368,mendapatkan,attain,Saya mendapatkan hadiah undian.
1369,mendapatkan,gain,Saya mendapatkan hadiah undian.
1370,mendapatkan,get,Saya mendapatkan hadiah undian.
1371,mendapatkan,getting,Saya mendapatkan hadiah undian.
1372,mendapatkan,obtain,Saya mendapatkan hadiah undian.
1373,mendapatkan,receive,Saya mendapatkan hadiah undian.
1374,mendapatkan,win,Saya mendapatkan hadiah undian.
1375,menderita,anguish,Pasien itu menderita demam tinggi.
1376,menderita,endure,Pasien itu menderita demam tinggi.
1377,menderita,suffer,Pasien itu menderita demam tinggi.
1378,mendoktrin,indoctrinate,Kelompok itu mendoktrin anggotanya.
1379,mendorong,boost,Jangan mendorong teman saat antre.
1380,mendorong,compel,Jangan mendorong teman saat antre.
1381,mendorong,drive,Jangan mendorong teman saat antre.
1382,mendorong,encourage,Jangan mendorong teman saat antre.
1383,mendorong,motivate,Jangan mendorong teman saat antre.
1384,mendorong,prompt,Jangan mendorong teman saat antre.
1385,mendorong,propel,Jangan mendorong teman saat antre.
1386,mendorong,push,Jangan mendorong teman saat antre.
1387,mendorong,pushing,Jangan mendorong teman saat antre.
1388,mendorong,shove,Jangan mendorong teman saat antre.
1389,mendorong,stimulate,Jangan mendorong teman saat antre.
1390,mendukung,aid,Saya mendukung rencanamu.
1391,mendukung,back up,Saya mendukung rencanamu.
1392,mendukung,bolster,Saya mendukung rencanamu.
1393,mendukung,contribute,Saya mendukung rencanamu.
1394,mendukung,help out,Saya mendukung rencanamu.
1395,mendukung,promote,Saya mendukung rencanamu.
1396,mendukung,stick up,Saya mendukung rencanamu.
1397,mendukung,support,Saya mendukung rencanamu.
1398,mendukung,supporting,Saya mendukung rencanamu.
1399,mendung,clouded,Langit mendung pertanda akan hujan.
1400,mendung,cloudy,Langit mendung pertanda akan hujan.
1401,mendung,gloomy,Langit mendung pertanda akan hujan.
1402,menembak,shoot,Polisi terpaksa menembak ban mobil pelaku.
1403,menembak,shooting,Polisi terpaksa menembak ban mobil pelaku.
1404,menerima,accept,Saya menerima paket dari kurir.
1405,menerima,accepting,Saya menerima paket dari kurir.
1406,menerima,get,Saya menerima paket dari kurir.
1407,menerima,receive,Saya menerima paket dari kurir.
1408,menerima,take,Saya menerima paket dari kurir.
1409,mengakui,acknowledge,Dia mengakui kesalahannya.
1410,mengakui,admit,Dia mengakui kesalahannya.
1411,mengakui,confess,Dia mengakui kesalahannya.
1412,mengakui,fess up,Dia mengakui kesalahannya.
1413,mengakui,own up,Dia mengakui kesalahannya.
1414,mengakui,profess,Dia mengakui kesalahannya.
1415,mengakui,recognize,Dia mengakui kesalahannya.
1416,mengamankan,apprehend,Polisi mengamankan lokasi kejadian.
1417,mengamankan,arrest,Polisi mengamankan lokasi kejadian.
1418,mengamankan,detain,Polisi mengamankan lokasi kejadian.
1419,mengamankan,hold in,Polisi mengamankan lokasi kejadian.
1420,mengamankan,pacify,Polisi mengamankan lokasi kejadian.
1421,mengamankan,preserve,Polisi mengamankan lokasi kejadian.
1422,mengamankan,prosecute,Polisi mengamankan lokasi kejadian.
1423,mengamankan,secure,Polisi mengamankan lokasi kejadian.
1424,mengeluarkan,dish out,Ibu mengeluarkan kue dari oven.
1425,mengeluarkan,eject,Ibu mengeluarkan kue dari oven.
1426,mengeluarkan,expel,Ibu mengeluarkan kue dari oven.
1427,mengeluarkan,get out,Ibu mengeluarkan kue dari oven.
1428,mengeluarkan,issue,Ibu mengeluarkan kue dari oven.
1429,mengeluarkan,present,Ibu mengeluarkan kue dari oven.
1430,mengeluarkan,pull out,Ibu mengeluarkan kue dari oven.
1431,mengeluarkan,release,Ibu mengeluarkan kue dari oven.
1432,mengeluarkan,spend,Ibu mengeluarkan kue dari oven.
1433,mengeluarkan,throw out,Ibu mengeluarkan kue dari oven.
1434,mengembalikan,bring back,Saya harus mengembalikan buku ke perpustakaan.
1435,mengembalikan,give back,Saya harus mengembalikan buku ke perpustakaan.
1436,mengembalikan,restore,Saya harus mengembalikan buku ke perpustakaan.
1437,mengembalikan,return,Saya harus mengembalikan buku ke perpustakaan.
1438,mengembalikan,send back,Saya harus mengembalikan buku ke perpustakaan.
1439,mengerikan,awful,Kecelakaan itu terlihat mengerikan.
1440,mengerikan,bone-chilling,Kecelakaan itu terlihat mengerikan.
1441,mengerikan,dreadful,Kecelakaan itu terlihat mengerikan.
1442,mengerikan,gruesome,Kecelakaan itu terlihat mengerikan.
1443,mengerikan,horrible,Kecelakaan itu terlihat mengerikan.
1444,mengerikan,horrific,Kecelakaan itu terlihat mengerikan.
1445,mengerikan,horrifying,Kecelakaan itu terlihat mengerikan.
1446,mengerikan,morbid,Kecelakaan itu terlihat mengerikan.
1447,mengerikan,nightmarish,Kecelakaan itu terlihat mengerikan.
1448,mengerikan,scary,Kecelakaan itu terlihat mengerikan.
1449,mengerikan,terrible,Kecelakaan itu terlihat mengerikan.
1450,mengerikan,terrifying,Kecelakaan itu terlihat mengerikan.
1451,mengerikan,unnerving,Kecelakaan itu terlihat mengerikan.
1452,menghancurkan,break,Alat berat menghancurkan gedung tua.
1453,menghancurkan,crush,Alat berat menghancurkan gedung tua.
1454,menghancurkan,demolish,Alat berat menghancurkan gedung tua.
1455,menghancurkan,destroy,Alat berat menghancurkan gedung tua.
1456,menghancurkan,devastate,Alat berat menghancurkan gedung tua.
1457,menghancurkan,ruin,Alat berat menghancurkan gedung tua.
1458,menghancurkan,shatter,Alat berat menghancurkan gedung tua.
1459,menghancurkan,smash,Alat berat menghancurkan gedung tua.
1460,menghancurkan,tear,Alat berat menghancurkan gedung tua.
1461,menghancurkan,wreck,Alat berat menghancurkan gedung tua.
1462,menghargai,appreciate,Kita harus menghargai pendapat orang lain.
1463,menghargai,cherish,Kita harus menghargai pendapat orang lain.
1464,menghargai,commend,Kita harus menghargai pendapat orang lain.
1465,menghargai,give credit,Kita harus menghargai pendapat orang lain.
1466,menghargai,honor,Kita harus menghargai pendapat orang lain.
1467,menghargai,prize,Kita harus menghargai pendapat orang lain.
1468,menghargai,respect,Kita harus menghargai pendapat orang lain.
1469,menghargai,reward,Kita harus menghargai pendapat orang lain.
1470,menghargai,treasure,Kita harus menghargai pendapat orang lain.
1471,menghargai,value,Kita harus menghargai pendapat orang lain.
1472,menghindari,avoid,Pengemudi membanting setir untuk menghindari lubang.
1473,menghindari,dodge,Pengemudi membanting setir untuk menghindari lubang.
1474,menghindari,elude,Pengemudi membanting setir untuk menghindari lubang.
1475,menghindari,evade,Pengemudi membanting setir untuk menghindari lubang.
1476,menghindari,keep away,Pengemudi membanting setir untuk menghindari lubang.
1477,menghindari,run from,Pengemudi membanting setir untuk menghindari lubang.
